"Sortierfeld_Title","Title","Format","Title No.","Title No Electronic Journal version","Title No. Print Incl. ""Enhanced Access""","ISSN print","ISSN electronic","Publisher","Language","Vols Qty","Scheduled Vol Nos","Issues per vol","Currency","Institutional Rate Print incl. Free Access or E-Only","Currency","Institutional Rate incl. Enhanced Access","Price for Postage & Handling","Status","Comments","Dispatch included"
"International Journal Software Tools Technology Transfer","International Journal on Software Tools for Technology Transfer","P E OF",10009,"10009E","10009N","1433-2779","1433-2787","Springer Berlin Heidelberg","E",1,12,6,"USD",517,"USD",620.4,60,,,
"International Journal Speech Technology","International Journal of Speech Technology","P E OF",10772,"10772E","10772N","1381-2416","1572-8110","Springer US","E",1,13,4,"USD",450,"USD",540,28,,,
"International Journal Stomatology Occlusion Medicine","International Journal of Stomatology & Occlusion Medicine","P E OF",12548,"12548E","12548N","1867-2221","1867-223X","Springer Wien","E",1,3,4,"USD",418,"USD",501.6,28,,,
"International Journal Systems Assurance Engineering and Management","International Journal of Systems Assurance Engineering and Management","P E OF",13198,"13198E","13198N","0975-6809","pending","Springer India","E",1,1,4,"USD",250,"USD",300,28,"New in 2010","New start in 2010. ",
"International Journal Technology Design Education","International Journal of Technology and Design Education","P E OF",10798,"10798E","10798N","0957-7572","1573-1804","Springer Netherlands","E",1,20,4,"USD",397,"USD",476.4,28,,,
"International Journal Theoretical Physics","International Journal of Theoretical Physics","P E OF",10773,"10773E","10773N","0020-7748","1572-9575","Springer US","E",1,49,12,"USD",2688,"USD",3225.6,84,,,
"International Journal Thermophysics","International Journal of Thermophysics","P E OF",10765,"10765E","10765N","0195-928X","1572-9567","Springer US","E",1,31,12,"USD",2354,"USD",2824.8,84,,,
"International Journal Wireless Information Networks","International Journal of Wireless Information Networks","P E OF",10776,"10776E","10776N","1068-9605","1572-8129","Springer US","E",1,17,4,"USD",627,"USD",752.4,28,,,
"International Ophthalmology","International Ophthalmology","P E OF",10792,"10792E","10792N","0165-5701","1573-2630","Springer Netherlands","E",1,30,6,"USD",959,"USD",1150.8,42,,,
"International Orthopaedics","International Orthopaedics","P E OF",264,"264E","264N","0341-2695","1432-5195","Springer Berlin Heidelberg","E/F",1,34,8,"USD",1847,"USD",2216.4,60,,"More content! ",
"International Review Economics","International Review of Economics","P E OF",12232,"12232E","12232N","1865-1704","1863-4613","Springer Berlin Heidelberg","E",1,57,4,"USD",194,"USD",232.8,28,,,
"International Review Education","International Review of Education","P E OF",11159,"11159E","11159N","0020-8566","1573-0638","Springer Netherlands","E",1,56,6,"USD",466,"USD",559.2,42,,"More content! ",
"International Review Public and Non-Profit Marketing","International Review on Public and Nonprofit Marketing","P E OF A",12208,"12208E","12208N","1865-1984","1865-1992","Springer Berlin Heidelberg","E",1,7,2,"USD",303,"USD",363.6,14,,,
"International Tax Public Finance","International Tax and Public Finance","P E OF",10797,"10797E","10797N","0927-5940","1573-6970","Springer US","E",1,17,6,"USD",1053,"USD",1263.6,42,,,
"International Urogynecology Journal","International Urogynecology Journal","P E OF",192,"192E","192N","0937-3462","1433-3023","Springer London","E",1,21,12,"USD",1598,"USD",1917.6,120,,,
"International Urology Nephrology","International Urology and Nephrology","P E OF",11255,"11255E","11255N","0301-1623","1573-2584","Springer Netherlands","E",1,42,4,"USD",974,"USD",1168.8,28,,"More content! ",
"Internist","Der Internist","P E",108,"108E","108N","0020-9554","1432-1289","Springer Berlin Heidelberg","D",1,51,12,"USD",575,"USD",690,120,,"More content! ",
"Internisten Vademecum","Internisten Vademecum","P",12448,"12448E","12448N","1384-6620",,"Bohn Stafleu van Loghum","NL",1,2010,12,,,,,,,"Order through Bohn Stafleu van Loghum. Please contact Bohn Stafleu van Loghum for price and ordering information. No electronic version available. ",
"Inventiones mathematicae","Inventiones mathematicae","P E OF",222,"222E","222N","0020-9910","1432-1297","Springer Berlin Heidelberg","E",4,"179-182",3,"USD",3334,"USD",3334,120,,,
"Invertebrate Neuroscience","Invertebrate Neuroscience","P E OF S",10158,"10158E","10158N","1354-2516","1439-1104","Springer Berlin Heidelberg","E",1,10,2,"USD",530,"USD",636,20,,,
"Investigational New Drugs","Investigational New Drugs","P E OF",10637,"10637E","10637N","0167-6997","1573-0646","Springer US","E",1,28,6,"USD",763,"USD",915.6,42,,,
"Ionics","Ionics","P E OF",11581,"11581E","11581N","0947-7047","1862-0760","Springer Berlin Heidelberg","E",1,16,9,"USD",849,"USD",1018.8,63,,"More content! ",
"Irish Journal Medical Science","Irish Journal of Medical Science","P E OF A",11845,"11845E","11845N","0021-1265","1863-4362","Springer London","E",1,179,4,"USD",567,"USD",680.4,28,,"More content! ",
"Irrigation Drainage Systems","Irrigation and Drainage Systems","P E OF",10795,"10795E","10795N","0168-6291","1573-0654","Springer Netherlands","E",1,24,4,"USD",530,"USD",636,28,,,
"Irrigation Science","Irrigation Science","P E OF",271,"271E","271N","0342-7188","1432-1319","Springer Berlin Heidelberg","E",1,28,6,"USD",1075,"USD",1290,42,,,
"Israel Journal Mathematics","Israel Journal of Mathematics","P E ",11856,"11856E","11856N","0021-2172","1565-8511","The Hebrew University Magnes Press","E",6,"175-180",1,"USD",438,"USD",525.6,42,,,
"Izvestiya Atmospheric Oceanic Physics","Izvestiya, Atmospheric and Oceanic Physics","P E",11485,"11485E","11485N","0001-4338","1555-628X","MAIK Nauka/Interperiodica","E",1,46,8,"USD",1974,"USD",2368.8,56,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. More content! ",
"Izvestiya Physics Solid Earth","Izvestiya, Physics of the Solid Earth","P E",11486,"11486E","11486N","1069-3513","1555-6506","MAIK Nauka/Interperiodica","E",1,46,12,"USD",1878,"USD",2253.6,84,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Jahrbuch Regionalwissenschaft","Jahrbuch für Regionalwissenschaft","P E OF",10037,"10037E","10037N","0173-7600","1613-9836","Springer Berlin Heidelberg","D/E",1,30,2,"USD",218,"USD",261.6,20,,,
"Japan Journal Industrial Applied Mathematics","Japan Journal of Industrial and Applied Mathematics","P E",13160,"13160E","13160N","0916-7005","1868-937X","Springer Japan","E",1,27,3,"USD",608,"USD",729.6,21,"New in 2010","Take-over in 2010. Former publisher: Japan Soc. Industrial and Applied Mathematics. ",
"Japanese Journal Mathematics","Japanese Journal of Mathematics","P E",11537,"11537E","11537N","0289-2316","1861-3624","Springer Japan","E",1,5,2,"USD",248,"USD",297.6,14,,,
"Japanese Journal of Radiology","Japanese Journal of Radiology","P E",11604,"11604E","11604N","1867-1071","1867-108X","Springer Japan","E",1,28,10,"USD",497,"USD",596.4,70,,,
"Japanese Journal Ophthalmology","Japanese Journal of Ophthalmology","P E",10384,"10384E","10384N","0021-5155","1613-2246","Springer Japan","E",1,54,6,"USD",400,"USD",480,60,,,
"Jeugd en Co","Jeugd en Co","P",12449,"12449E","12449N","1873-9164",,"Bohn Stafleu van Loghum","NL",1,2010,8,,,,,,,"Erratum Journals Price List. Not available in electronic format. Order through Bohn Stafleu van Loghum. Please contact Bohn Stafleu van Loghum for price and ordering information. No electronic version available. ",
"Jeugd en Co Kennis","Jeugd en Co Kennis","P E",12450,"12450E","12450N","1873-9172","1876-6099","Bohn Stafleu van Loghum","NL",1,2010,4,,,,,,,"Erratum Journals Price List. Also available in electronic format. Order through Bohn Stafleu van Loghum. Please contact Bohn Stafleu van Loghum for price and ordering information. ",
"Jeugdbeleid","Jeugdbeleid","P",12451,"12451E","12451N","1873-9482",,"Bohn Stafleu van Loghum","NL",1,2010,4,,,,,,,"Order through Bohn Stafleu van Loghum. Please contact Bohn Stafleu van Loghum for price and ordering information. No electronic version available. ",
"Jeugdgezondheidszorg-tijdschrift voor","JGZ : tijdschrift voor jeugdgezondheidszorg","P",12452,"12452E","12452N","1567-8644",,"Bohn Stafleu van Loghum","NL",1,2010,6,,,,,,,"Order through Bohn Stafleu van Loghum. Please contact Bohn Stafleu van Loghum for price and ordering information. No electronic version available. ",
"Jewish History","Jewish History","P E OF",10835,"10835E","10835N","0334-701X","1572-8579","Springer Netherlands","E",1,24,4,"USD",335,"USD",402,28,,,
"JOM","JOM","P E OF",11837,"11837E","11837N","1047-4838","1543-1851","Springer US","E",1,62,12,"USD",325,"USD",390,84,,,
"Journal  Medicine and the Person","Journal of Medicine and the Person","P E OF",12682,"12682E","12682N","2035-9411","2036-3877","Springer Milan","E",1,8,3,"USD",346,"USD",415.2,28,"New in 2009","Take-over in 2009. ",
"Journal Abnormal Child Psychology","Journal of Abnormal Child Psychology","P E OF",10802,"10802E","10802N","0091-0627","1573-2835","Springer US","E",1,38,8,"USD",1523,"USD",1827.6,56,,,
"Journal Academic Ethics","Journal of Academic Ethics","P E OF",10805,"10805E","10805N","1570-1727","1572-8544","Springer Netherlands","E",1,8,4,"USD",319,"USD",382.8,28,,,
"Journal Academy Marketing Science","Journal of the Academy of Marketing Science","P E OF",11747,"11747E","11747N","0092-0703","1552-7824","Springer US","E",1,38,6,"USD",657,"USD",788.4,42,,"More content! ",
"Journal Acupuncture Tuina Science","Journal of Acupuncture and Tuina Science","P E",11726,"11726E","11726N","1672-3597","1993-0399","Shanghai Research Institute of Acupuncture and Meridian, co-published with Springer","E",1,8,6,"USD",801,"USD",961.2,42,,"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide. ",
"Journal Adult Development","Journal of Adult Development","P E OF",10804,"10804E","10804N","1068-0667","1573-3440","Springer US","E",1,17,4,"USD",570,"USD",684,28,,,
"Journal Africain d’Hépato-Gastroentérologie","Journal Africain d’Hépato-Gastroentérologie","E OF",12157,"12157E","12157N","1954-3204","1954-3212","Springer Paris","F",1,4,4,"USD",157,,,,,"Erratum journals price list. Only available in electronic format. ",
"Journal africain du cancer / African Journal of Cancer","Journal africain du cancer / African Journal of Cancer","P E OF",12558,"12558E","12558N","1965-0817","1965-0825","Springer Paris","F/ E",1,2,4,"USD",204,"USD",244.8,28,"New in 2009","New start in 2009. ",
"Journal African American Studies","Journal of African American Studies","P E OF",12111,"12111E","12111N","1559-1646","1936-4741","Springer US","E",1,14,4,"USD",474,"USD",568.8,40,,,
"Journal Agricultural Biological Environmental Statistics","Journal of Agricultural, Biological, and Environmental Statistics","P E OF",13253,"13253E","13253N","1085-7117","1537-2693","Springer New York","E",1,15,4,"USD",250,"USD",300,28,"New in 2010","Take-over in 2010. Former publisher: International Biometric Society  and American Statistical Association. Addendum Journals Price List. ",
"Journal Agricultural Environmental Ethics","Journal of Agricultural and Environmental Ethics","P E OF",10806,"10806E","10806N","1187-7863","1573-322X","Springer Netherlands","E",1,23,6,"USD",414,"USD",496.8,42,,,
"Journal Algebraic Combinatorics","Journal of Algebraic Combinatorics","P E OF",10801,"10801E","10801N","0925-9899","1572-9192","Springer US","E",2,"31+32",4,"USD",692,"USD",830.4,56,,,
"Journal Ambient Intelligence Humanized Computing","Journal of Ambient Intelligence and Humanized Computing","P E OF",12652,"12652E","12652N","1868-5137","1868-5145","Springer Berlin Heidelberg","E",1,1,4,"USD",399,"USD",478.8,28,"New in 2010","New start in 2010. ",
"Journal American Oil Chemists' Society","Journal of the American Oil Chemists' Society","P E OF A",11746,"11746E","11746N","0003-021X","1558-9331","Springer Berlin Heidelberg","E",1,87,12,"USD",535,"USD",642,84,,"See also combined subscription Journal of the American Oil Chemists' Society + inform. ",
"Journal American Oil Chemists' Society + inform","Journal of the American Oil Chemists' Society + inform","P E OF",11877,"11877E","11877N",,,"Springer Berlin Heidelberg","E",,,,"USD",596,"USD",715.2,114,,"Combined subscription. ",
"Journal Analyse Mathématique","Journal d'Analyse Mathématique","P E",11854,"11854E","11854N","0021-7670","1565-8538","The Hebrew University Magnes Press","E",3,"110-112",1,"USD",275,"USD",330,21,,,
"Journal Analytical Chemistry","Journal of Analytical Chemistry","P E",10809,"10809E","10809N","1061-9348","1608-3199","MAIK Nauka/Interperiodica","E",1,65,14,"USD",4850,"USD",5820,98,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. More content! ",
"Journal Anesthesia","Journal of Anesthesia","P E",540,"540E","540N","0913-8668","1438-8359","Springer Japan","E",1,24,6,"USD",306,"USD",367.2,40,,"Erratum Journals Price List. Publishes 6 issues in 2010. More content! ",
"Journal Applied Electrochemistry","Journal of Applied Electrochemistry","P E OF",10800,"10800E","10800N","0021-891X","1572-8838","Springer Netherlands","E",1,40,12,"USD",2731,"USD",3277.2,84,,,
"Journal Applied industrial Mathematics","Journal of Applied and Industrial Mathematics","P E OF",11754,"11754E","11754N","1990-4789","1990-4797","MAIK Nauka/Interperiodica","E",1,4,4,"USD",1351,"USD",1621.2,28,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Journal Applied Mathematics and Computing","Journal of Applied Mathematics and Computing ","P E OF A",12190,"12190E","12190N","1598-5865","1865-2085","Springer Berlin Heidelberg","E",3,"32-34",2,"USD",1139,"USD",1366.8,42,,"Exclusive distribution rights for print version outside Korea, for electronic version worldwide. ",
"Journal Applied Mechanics Technical Physics","Journal of Applied Mechanics and Technical Physics","P E",10808,"10808E","10808N","0021-8944","1573-8620","MAIK Nauka/Interperiodica","E",1,51,6,"USD",4428,"USD",5313.6,42,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Journal Applied Phycology","Journal of Applied Phycology","P E OF",10811,"10811E","10811N","0921-8971","1573-5176","Springer Netherlands","E",1,22,6,"USD",1127,"USD",1352.4,42,,"More content! ",
"Journal Applied Spectroscopy","Journal of Applied Spectroscopy","P E",10812,"10812E","10812N","0021-9037","1573-8647","Springer US","E",1,77,6,"USD",4366,"USD",5239.2,42,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Journal Archaeological Method Theory","Journal of Archaeological Method and Theory","P E OF",10816,"10816E","10816N","1072-5369","1573-7764","Springer US","E",1,17,4,"USD",543,"USD",651.6,28,,,
"Journal Archaeological Research","Journal of Archaeological Research","P E OF",10814,"10814E","10814N","1059-0161","1573-7756","Springer US","E",1,18,4,"USD",632,"USD",758.4,28,,,
"Journal Artificial Organs","Journal of Artificial Organs","P E",10047,"10047E","10047N","1434-7229","1619-0904","Springer Japan","E",1,13,4,"USD",347,"USD",416.4,40,,,
"Journal Assisted Reproduction Genetics","Journal of Assisted Reproduction and Genetics","P E OF",10815,"10815E","10815N","1058-0468","1573-7330","Springer US","E",1,27,12,"USD",1588,"USD",1905.6,84,,,
"Journal Association for","JARO - Journal of the Association for Research in Otolaryngology","P E OF",10162,"10162E","10162N","1525-3961","1438-7573","Springer New York","E",1,11,4,"USD",371,"USD",445.2,28,,,
"Journal Ästhetische Chirurgie","Journal für Ästhetische Chirurgie","P E OF",12631,"12631E","12631N","1867-4305","1867-4313","Springer Berlin Heidelberg","D",1,3,4,"USD",408,"USD",489.6,28,,,
"Journal Astrophysics Astronomy","Journal of Astrophysics and Astronomy","P E OF A",12036,"12036E","12036N","0250-6335","0973-7758","Springer India","E",1,31,4,"USD",235,"USD",282,28,,"Springer has the exclusive right and license to electronically publish and distribute the SpringerLink Edition and to distribute the International Print Edition outside of India. ",
"Journal Atmospheric Chemistry","Journal of Atmospheric Chemistry","P E OF",10874,"10874E","10874N","0167-7764","1573-0662","Springer Netherlands","E",3,"65-67",3,"USD",1540,"USD",1848,63,,,
"Journal Autism Developmental Disorders","Journal of Autism and Developmental Disorders","P E OF",10803,"10803E","10803N","0162-3257","1573-3432","Springer US","E",1,40,12,"USD",1528,"USD",1833.6,84,,,
"Journal Automated Reasoning","Journal of Automated Reasoning","P E OF",10817,"10817E","10817N","0168-7433","1573-0670","Springer Netherlands","E",2,"44+45",4,"USD",977,"USD",1172.4,56,,,
"Journal Behavioral Education","Journal of Behavioral Education","P E OF",10864,"10864E","10864N","1053-0819","1573-3513","Springer US","E",1,19,4,"USD",480,"USD",576,28,,,
"Journal Behavioral Health Services & Research","The Journal of Behavioral Health Services & Research","P E OF",11414,"11414E","11414N","1094-3412","1556-3308","Springer US","E",1,37,4,"USD",363,"USD",435.6,28,,,
"Journal Behavioral Medicine","Journal of Behavioral Medicine","P E OF",10865,"10865E","10865N","0160-7715","1573-3521","Springer US","E",1,33,6,"USD",1190,"USD",1428,42,,,
"Journal Betriebswirtschaft","Journal für Betriebswirtschaft","P E OF",11301,"11301E","11301N","0344-9327","1614-631X","Springer Berlin Heidelberg","D",1,60,4,"USD",296,"USD",355.2,40,,,
"Journal Bioeconomics","Journal of Bioeconomics","P E OF",10818,"10818E","10818N","1387-6996","1573-6989","Springer US","E",1,12,3,"USD",386,"USD",463.2,21,,,
"Journal Bioenergetics Biomembranes","Journal of Bioenergetics and Biomembranes","P E OF",10863,"10863E","10863N","0145-479X","1573-6881","Springer US","E",1,42,6,"USD",1104,"USD",1324.8,42,,,
"Journal Bioethicalq Inuiry","Journal of Bioethical Inquiry","P E OF",11673,"11673E","11673N","1176-7529","1872-4353","Springer Netherlands","E",1,7,4,"USD",351,"USD",421.2,28,,,
"Journal Biological Inorganic Chemistry","JBIC Journal of Biological Inorganic Chemistry","P E OF S",775,"775E","775N","0949-8257","1432-1327","Springer Berlin Heidelberg","E",1,15,8,"USD",1264,"USD",1516.8,80,,,
"Journal Biological Physics","Journal of Biological Physics","P E OF",10867,"10867E","10867N","0092-0606","1573-0689","Springer Netherlands","E",1,36,4,"USD",501,"USD",601.2,28,,,
"Journal Biomolecular NMR","Journal of Biomolecular NMR","P E OF",10858,"10858E","10858N","0925-2738","1573-5001","Springer Netherlands","E",3,"46-48",4,"USD",2492,"USD",2990.4,84,,,
"Journal Biorheology","Journal of Biorheology","P E",12573,"12573E","12573N","1867-0466","1867-0474","Springer Japan","E",1,24,2,"USD",195,"USD",234,14,"New in 2009","Take-over in 2009. ",
"Journal Biosciences","Journal of Biosciences","P E OF A",12038,"12038E","12038N","0250-5991","0973-7138","Springer India","E",1,35,6,"USD",310,"USD",372,42,,"Springer has the exclusive right and license to electronically publish and distribute the SpringerLink Edition and to distribute the International Print Edition outside of India. ",
"Journal Bone Mineral Metabolism","Journal of Bone and Mineral Metabolism","P E",774,"774E","774N","0914-8779","1435-5604","Springer Japan","E",1,28,6,"USD",386,"USD",463.2,60,,"More content! ",
"Journal Brazilian Computer Society","Journal of the Brazilian Computer Society","P E OF",13173,"13173E","13173N","0104-6500","1678-4804","Springer London","E",1,16,4,"USD",675,"USD",810,28,"New in 2010","Take-over in 2010. Former publisher: Brazilian Computer Society. ",
"Journal Business Ethics","Journal of Business Ethics","P E OF",10551,"10551E","10551N","0167-4544","1573-0697","Springer Netherlands","E",7,"91-97",4,"USD",2472,"USD",2966.4,196,,,
"Journal Business Market Management","Journal of Business Market Management","E",12087,"12087E","12087N","1864-0753","1864-0761","Gabler Verlag / GWV Fachverlage GmbH","E",1,4,4,"USD",567,,,,,"SpringerLink licensing permitted. Print and online subscriptions processed by Gabler. Only available in electronic format. ",
"Journal Business Psychology","Journal of Business and Psychology","P E OF",10869,"10869E","10869N","0889-3268","1573-353X","Springer US","E",1,25,4,"USD",903,"USD",1083.6,28,,,
"Journal Cancer Education","Journal of Cancer Education","P E OF",13187,"13187E","13187N","0885-8195","1543-0154","Springer New York","E",1,25,4,"USD",400,"USD",480,28,"New in 2010","Take-over in 2010. Former publisher: Routledge / Taylor & Francis. ",
"Journal Cancer Research Clinical Oncology","Journal of Cancer Research and Clinical Oncology","P E OF",432,"432E","432N","0171-5216","1432-1335","Springer Berlin Heidelberg","E",1,136,12,"USD",4281,"USD",5137.2,120,,"More content! ",
"Journal Cancer Survivorship","Journal of Cancer Survivorship","P E OF A",11764,"11764E","11764N","1932-2259","1932-2267","Springer US","E",1,4,4,"USD",577,"USD",692.4,28,,,
"Journal Cardiovascular Translational Research","Journal of Cardiovascular Translational Research","P E OF S",12265,"12265E","12265N","1937-5387","1937-5395","Springer US","E",1,3,6,"USD",521,"USD",625.2,42,,"See also combined subscription Bulletin of Engineering Geology and the Environment / Environmental Earth Sci / Hydrogeology Journal. More content! ",
"Journal Cell Communication and Signaling","Journal of Cell Communication and Signaling","P E OF",12079,"12079E","12079N","1873-9601","1873-961X","Springer Netherlands","E",1,4,4,"USD",608,"USD",729.6,28,,,
"Journal Central South University of Technology","Journal of Central South University of Technology","P E",11771,"11771E","11771N","1005-9784","1993-0666","Central South University, co-published with Springer","E",1,17,6,"USD",1034,"USD",1240.8,42,,"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide. More content! ",
"Journal Chemical Biology","Journal of Chemical Biology","P E OF",12154,"12154E","12154N","1864-6158","1864-6166","Springer Berlin Heidelberg","E",1,3,4,"USD",439,"USD",526.8,28,,,
"Journal Chemical Crystallography","Journal of Chemical Crystallography","P E OF",10870,"10870E","10870N","1074-1542","1572-8854","Springer US","E",1,40,12,"USD",1530,"USD",1836,84,,,
"Journal Chemical Ecology","Journal of Chemical Ecology","P E OF",10886,"10886E","10886N","0098-0331","1573-1561","Springer New York","E",1,36,12,"USD",2241,"USD",2689.2,84,,,
"Journal Chemical Sciences","Journal of Chemical Sciences","P E OF A",12039,"12039E","12039N","0974-3626","0973-7103","Springer India","E",1,122,6,"USD",355,"USD",426,42,,"Erratum Journals Price List. Print ISSN is 0974-3626. Springer has the exclusive right and license to electronically publish and distribute the SpringerLink Edition and to distribute the International Print Edition outside of India. ",
"Journal Child Family Studies","Journal of Child and Family Studies","P E OF",10826,"10826E","10826N","1062-1024","1573-2843","Springer US","E",1,19,6,"USD",725,"USD",870,42,,,
"Journal Children's Orthopaedics","Journal of Children's Orthopaedics","P E OF",11832,"11832E","11832N","1863-2521","1863-2548","Springer Berlin Heidelberg","E",1,4,6,"USD",765,"USD",918,42,,,
"Journal Chinese Political Science","Journal of Chinese Political Science","P E OF",11366,"11366E","11366N","1080-6954","1874-6357","Springer Netherlands","E",1,15,4,"USD",376,"USD",451.2,31.5,,,
"Journal Classification","Journal of Classification","P E",357,"357E","357N","0176-4268","1432-1343","Springer New York","E",1,27,3,"USD",446,"USD",535.2,21,,,
"Journal Clinical Immunology","Journal of Clinical Immunology","P E OF",10875,"10875E","10875N","0271-9142","1573-2592","Springer US","E",1,30,6,"USD",1133,"USD",1359.6,42,,,
"Journal Clinical Monitoring Computing","Journal of Clinical Monitoring and Computing","P E OF",10877,"10877E","10877N","1387-1307","1573-2614","Springer Netherlands","E",1,24,6,"USD",924,"USD",1108.8,42,,,
"Journal Clinical Psychology Medical Settings","Journal of Clinical Psychology in Medical Settings","P E OF",10880,"10880E","10880N","1068-9583","1573-3572","Springer US","E",1,17,4,"USD",506,"USD",607.2,28,,,
"Journal Cluster Science","Journal of Cluster Science","P E OF",10876,"10876E","10876N","1040-7278","1572-8862","Springer US","E",1,21,4,"USD",843,"USD",1011.6,28,,,
"Journal Coal Science and Engineering (China)","Journal of Coal Science and Engineering (China)","P E",12404,"12404E","12404N","1006-9097","1866-6566","China Coal Society, co-published with Springer","E",1,16,4,"USD",709,"USD",850.8,28,"New in 2009","Take-Over Co-Publication in 2009. Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide. ",
"Journal Coastal Conservation","Journal of Coastal Conservation","P E OF",11852,"11852E","11852N","1400-0350","1874-7841","Springer Netherlands","E",1,14,4,"USD",352,"USD",422.4,28,,,
"Journal Coatings Technology Research","Journal of Coatings Technology and Research","P E OF",11998,"11998E","11998N","1547-0091","1935-3804","Springer US","E",1,7,6,"USD",605,"USD",726,42,,"More content! ",
"Journal Combinatorial Optimization","Journal of Combinatorial Optimization","P E OF",10878,"10878E","10878N","1382-6905","1573-2886","Springer US","E",2,"19+20",4,"USD",496,"USD",595.2,56,,,
"Journal Communications Technology Electronics","Journal of Communications Technology and Electronics","P E",11487,"11487E","11487N","1064-2269","1555-6557","MAIK Nauka/Interperiodica","E",1,55,12,"USD",6302,"USD",7562.4,84,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. More content! ",
"Journal Community Genetics","Journal of Community Genetics","P E OF",12687,"12687E","12687N","1868-310X","1868-6001","Springer Berlin Heidelberg","E",1,1,4,"USD",405,"USD",486,28,"New in 2010","New start in 2010. ",
"Journal Community Health","Journal of Community Health","P E OF",10900,"10900E","10900N","0094-5145","1573-3610","Springer US","E",1,35,6,"USD",1033,"USD",1239.6,42,,,
"Journal Comparative Germanic Linguistics, The","The Journal of Comparative Germanic Linguistics","P E OF",10828,"10828E","10828N","1383-4924","1572-8552","Springer Netherlands","E",1,13,3,"USD",225,"USD",270,21,,,
"Journal Comparative Physiology A","Journal of Comparative Physiology A","P E OF S",359,"359E","359N","0340-7594","1432-1351","Springer Berlin Heidelberg","E",1,196,12,"USD",5720,"USD",6864,120,,"See also combined subscription Journal of Comparative Physiology A+B. ",
"Journal Comparative Physiology B","Journal of Comparative Physiology B","P E OF",360,"360E","360N","0174-1578","1432-136X","Springer Berlin Heidelberg","E",1,180,8,"USD",3294,"USD",3952.8,80,,"See also combined subscription Journal of Comparative Physiology A+B. ",
"Journal Comparative Physiology C","Journal of Comparative Physiology A+B","P E OF",437,"437E","437N",,,"Springer Berlin Heidelberg","E",,,,"USD",8122,"USD",9746.4,148,,"Combined subscription. ",
"Journal Computational Electronics","Journal of Computational Electronics","P E OF",10825,"10825E","10825N","1569-8025","1572-8137","Springer US","E",1,9,4,"USD",495,"USD",594,28,,,
"Journal Computational Neuroscience","Journal of Computational Neuroscience","P E OF",10827,"10827E","10827N","0929-5313","1573-6873","Springer US","E",2,"28+29",3,"USD",961,"USD",1153.2,42,,,
"Journal Computer Science Technology","Journal of Computer Science and Technology","P E OF",11390,"11390E","11390N","1000-9000","1860-4749","Springer US","E",1,25,6,"USD",1000,"USD",1200,42,,"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide. ",
"Journal Computer Systems Sciences International","Journal of Computer and Systems Sciences International","P E",11488,"11488E","11488N","1064-2307","1555-6530","MAIK Nauka/Interperiodica","E",1,49,6,"USD",4538,"USD",5445.6,42,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Journal Computer Virology","Journal in Computer Virology","P E OF",11416,"11416E","11416N","1772-9890","1772-9904","Springer Paris","E",1,6,4,"USD",551,"USD",661.2,28,,"More content! ",
"Journal Computer-Aided Molecular Design","Journal of Computer-Aided Molecular Design","P E OF",10822,"10822E","10822N","0920-654X","1573-4951","Springer Netherlands","E",1,24,12,"USD",2991,"USD",3589.2,84,,,
"Journal Computing Higher Education","Journal of Computing in Higher Education","P E OF S",12528,"12528E","12528N","1042-1726","1867-1233","Springer US","E",1,22,3,"USD",137,"USD",164.4,21,"New in 2009","Take-over in 2009. ",
"Journal Consumer Policy","Journal of Consumer Policy","P E OF",10603,"10603E","10603N","0168-7034","1573-0700","Springer US","E",1,33,4,"USD",561,"USD",673.2,28,,,
"Journal Contemporary Mathematical Analysis (Armenian Academy of Sciences)","Journal of Contemporary Mathematical Analysis","P E ",11957,"11957E","11957N","1068-3623","1934-9416","Allerton Press","E",1,45,6,"USD",2583,"USD",3099.6,42,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Journal Contemporary Physics (Armenian Academy of Sciences)","Journal of Contemporary Physics (Armenian Academy of Sciences)","P E ",11958,"11958E","11958N","1068-3372","1934-9378","Allerton Press","E",1,45,6,"USD",2119,"USD",2542.8,42,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Journal Contemporary Psychotherapy","Journal of Contemporary Psychotherapy","P E OF",10879,"10879E","10879N","0022-0116","1573-3564","Springer US","E",1,40,4,"USD",839,"USD",1006.8,28,,,
