"Sortierfeld_Title","Title","Format","Title No.","Title No Electronic Journal version","Title No. Print Incl. ""Enhanced Access""","ISSN print","ISSN electronic","Publisher","Language","Vols Qty","Scheduled Vol Nos","Issues per vol","Currency","Institutional Rate Print incl. Free Access or E-Only","Currency","Institutional Rate incl. Enhanced Access","Price for Postage & Handling","Status","Comments","Dispatch included"
"Annals Global Analysis Geometry","Annals of Global Analysis and Geometry","P E OF",10455,"10455E","10455N","0232-704X","1572-9060","Springer Netherlands","E",2,"37+38",4,"USD",821,"USD",985.2,56,,,
"Annals Hematology","Annals of Hematology","P E OF",277,"277E","277N","0939-5555","1432-0584","Springer Berlin Heidelberg","E",1,89,12,"USD",2608,"USD",3129.6,120,,"More content! ",
"Annals Institute of Statistical Mathematics","Annals of the Institute of Statistical Mathematics","P E OF",10463,"10463E","10463N","0020-3157","1572-9052","Springer Berlin Heidelberg","E",1,62,6,"USD",1318,"USD",1581.6,42,,"More content! ",
"Annals Mathematics Artificial Intelligence","Annals of Mathematics and Artificial Intelligence","P E OF",10472,"10472E","10472N","1012-2443","1573-7470","Springer Netherlands","E",3,"58-60",4,"USD",1375,"USD",1650,84,,,
"Annals Microbiology","Annals of Microbiology","P E OF",13213,"13213E","13213N","1590-4261","1869-2044","Springer Berlin Heidelberg","E",1,60,4,"USD",540,"USD",648,28,"New in 2010","Take-over in 2010. Former publisher: University of Milan. Addendum Journals Price List. ",
"Annals Nuclear Medicine","Annals of Nuclear Medicine","P E",12149,"12149E","12149N","0914-7187","1864-6433","Springer Japan","E",1,24,10,"USD",490,"USD",588,70,,"More content! ",
"Annals Operations Research","Annals of Operations Research","P E OF",10479,"10479E","10479N","0254-5330","1572-9338","Springer US","E",9,"173-181",1,"USD",3441,"USD",4129.2,63,,,
"Annals Regional Science","The Annals of Regional Science","P E",168,"168E","168N","0570-1864","1432-0592","Springer Berlin Heidelberg","E",2,"44+45",3,"USD",971,"USD",1165.2,42,,,
"Annals Solid Structural Mechanics","Annals of Solid and Structural Mechanics","P E OF",12356,"12356E","12356N","1867-6936","1867-6944","Springer Berlin Heidelberg","E",1,2,4,"USD",630,"USD",756,28,"New in 2009","New start in 2009. ",
"Annals Surgical Oncology","Annals of Surgical Oncology","P E OF",10434,"10434E","10434N","1068-9265","1534-4681","Springer New York","E",1,17,12,"USD",1063,"USD",1275.6,84,,,
"Annals Telecommunications","Annals of Telecommunications","P E OF",12243,"12243E","12243N","0003-4347","1958-9395","Springer Paris","E",1,65,12,"USD",494,"USD",592.8,40,,,
"Antonie van Leeuwenhoek","Antonie van Leeuwenhoek","P E OF",10482,"10482E","10482N","0003-6072","1572-9699","Springer Netherlands","E",2,"97+98",4,"USD",2285,"USD",2742,56,,,
